,message,created_time
47,[12:44] 소파로 퇴계로2가교차로 → 백범광장1차로 공사 완료됐습니다. 반대방향 하위차로에서 공사 진행중이니 운행에 참고하세요. https://t.co/X2rbgwlbp3,2019-05-14 12:44:46
48,[12:29]  안양천로 금천육교 → 시흥대교교차로 4차로 공사 진행중입니다. 구간 서행되니 운행에 참고하시기 바랍니다. https://t.co/NUrDsicI3r,2019-05-14 12:29:16
49,[12:26] 서울시립대로 전농동동아아파트 → 전농1동교차로 하위차로 공사 진행중입니다. 구간 서행되니 운행에 참고하시기 바랍니다. https://t.co/4HnAffhUkJ,2019-05-14 12:27:01
50,[12:25]  방배로 경남아파트 → 방배역 3차로 공사 진행중입니다. 구간 소통 원활합니다. 안전운전 하시기 바랍니다. https://t.co/saciucoDho,2019-05-14 12:26:00
51,[12:21] 소파로 퇴계로2가교차로 → 백범광장 공사 하위차로로 이동하여 계속되고 있습니다. 양방향 하위차로 차단중이니 운행에 참고하세요. https://t.co/pV4IJ9qrrr,2019-05-14 12:21:33
52,[12:18] 용마산로 용곡삼거리 →중곡사거리 2차로 공사 완료됐습니다. 반대방향 3차로 공사는 완료되었으나 차량으로 차단중이니 운행에 참고하시기 바랍니다 . https://t.co/mtXzNYBb8s,2019-05-14 12:18:29
53,[12:05] 남부순환로 구로IC ↔ 디지털오거리 양방향 하위차로 공사로 차단중이니 주의운전 하시기 바랍니다. https://t.co/JbH0lk8CdU,2019-05-14 12:05:26
54,[11:58] 시흥대로 대림삼거리 → 대림사거리 하위차로 공사 4차로로 이동하여 진행중입니다. 운행에 참고하세요. https://t.co/ophYNieoby,2019-05-14 11:58:41
55,[11:56] 강변북로 구리 방향 한강대교북단→동작대교북단 구간 고장차량 처리작업중입니다. 구간 정체되니 운행에 참고하시기 바랍니다. https://t.co/vF2Hq8dOFq,2019-05-14 11:56:13
56,[11:53] 올림픽대로 하남방향 가양대교 → 성산대교 1차로 고장차량 처리중입니다. 여파로 후미 방화대교까지 지정체되니 운행에 참고하세요. https://t.co/pEsMEwq2jI,2019-05-14 11:53:39
57,[11:39] 강변북로 일산 방향 잠실대교북단→청담대교북단 구간 추돌사고 처리 완료됐습니다. 구간 정체되니 안전운전하세요. https://t.co/i6EDsBRrYD,2019-05-14 11:39:33
58,[11:27] 소파로 퇴계로2가교차로 → 백범광장 공사 1차로로 이동하였습니다. 반대방향 하위차로도 차단중이니 주의운전 하시기 바랍니다. https://t.co/c197GWD3JK,2019-05-14 11:27:48
59,[11:25] 내부순환로 성산방향 길 음 → 정 릉 3차로 고장차량 여파로 구간 정체됩니다. 운행에 참고하시기 바랍니다. https://t.co/NrEthN7brs,2019-05-14 11:25:18
60,[11:24] 올림픽대로 김포방향 한강대교 → 여의상류 5차로 추돌사고 여파로 구간 정체됩니다. 운행에 참고하시기 바랍니다. https://t.co/y309xeqstl,2019-05-14 11:24:29
61,[11:17] 강변북로 구리방향 한강대교 → 동작대교 2차로 고장차량 여파로 후미 서강대교 이전부터 지정체됩니다. 운행에 참고하시기 바랍니다. https://t.co/K5SSGquwYL,2019-05-14 11:17:06
62,[11:13] 동부간선로 의정부 방향 월계1교→녹천교 구간 시설물보수로 구간 정체됩니다 운행에 참고하시기 바랍니다. https://t.co/umCtUK4L3p,2019-05-14 11:13:51
63,[11:02] 동부간선도로 성수JC방향 월계1교 → 월릉JC 3차로 공사 여파로 후미 수락지하차도까지 지정체됩니다. 운행에 참고하시기 바랍니다. https://t.co/khg9PsoISI,2019-05-14 11:02:13
64,[10:59] 올림픽대로 하남방향 가양대교 → 성산대교 4차로 공사 이동하며 진행중입니다. 구간 정체되니 운행에 참고하세요. https://t.co/mQyxDanou3,2019-05-14 10:59:25
65,[10:53] 강변북로 일산 방향 잠실대교북단→청담대교북단 2차로 추돌사고 처리중입니다. 여파로 후미 올림픽대교까지 지정체되니 운행에 참고하세요. https://t.co/iSOmVzM7Uv,2019-05-14 10:53:19
66,"[10:48]  양재대로 둔촌동역 → 길동사거리 공사 3차로 통제해제, 1,2,차로와 반대방향 1,2차로 차단하여 진행중이니 운행에 참고하세요. https://t.co/BvG0vuoOwX",2019-05-14 10:48:52
67,[10:42] 통일로 구파발 → 박석고개 공사차로 변경되어 2차로와 하위차로 차단중입니다. 주의운전 하시기 바랍니다. https://t.co/0Ax7xsSqp4,2019-05-14 10:42:43
68,[10:09] 올림픽대로 하남방향 방화대교 → 가양대교 1차로 고장차량 처리중입니다. 후미 행주대교까지 지정체되니 운행에 참고하세요. https://t.co/sksOFTeU3e,2019-05-14 10:09:16
69,[10:00] 올림픽대로 김포방향 청담대교 → 영동대교 5차로 녹지작업공사 진행중이니 주의운전 하시기 바랍니다. https://t.co/2a9GEioiIf,2019-05-14 10:00:18
70,"[09:54] 통일로 구파발 → 박석고개 3,4차로 공사 진행중이니 주의운전 하시기 바랍니다. https://t.co/GBz5C6zI3T",2019-05-14 09:55:05
71,[09:41] 올림픽로 선사사거리 → 암사역 하위차로 공사 진행중이니 주의운전 하시기 바랍니다. https://t.co/fUSPfHSuqS,2019-05-14 09:41:52
